"locusName"	"Short_description"	"Arabidopsis_homolog"	"Arabidopsis_homolog_defline"	"Clamy_homolog"	"Clamy_homolog_defline"	"Rice_homolog"	"Rice_homolog_defline"
"Solyc01g102880"	"Disease resistance protein (TIR-NBS-LRR class)"	""	""	""	""	""	""
"Solyc01g102890"	"Germin-like protein subfamily.1"	""	""	""	""	""	""
"Solyc01g102910"	"Germin-like protein subfamily 1 member"	""	""	""	""	""	""
"Solyc01g102940"	"Methionine S-methyltransferase"	""	""	""	""	""	""
"Solyc01g102970"	"squamous cell carcinoma antigen recognized by T-cells 3-like"	""	""	""	""	""	""
"Solyc01g102980"	"zinc-finger homeodomain protein 4"	""	""	""	""	""	""
"Solyc01g103010"	"Cullin-associated NEDD8-dissociated protein.1"	""	""	""	""	""	""
"Solyc01g103020"	"nucleic acid binding/RNA binding protein"	""	""	""	""	""	""
"Solyc01g103030"	"Major facilitator superfamily protein"	""	""	""	""	""	""
"Solyc01g103050"	"Auxin Response Factor 1"	""	""	""	""	""	""
"Solyc01g103090"	"Zinc finger transcription factor 14"	""	""	""	""	""	""
"Solyc01g103100"	"NAD(P)-binding Rossmann-fold superfamily protein"	""	""	""	""	""	""
"Solyc01g103120"	"Dynamin-2B"	""	""	""	""	""	""
"Solyc01g103130"	"Dynamin"	""	""	""	""	""	""
"Solyc01g103140"	"Chloride channel protein"	""	""	""	""	""	""
"Solyc01g103160"	"Pentatricopeptide repeat-containing protein"	""	""	""	""	""	""
"Solyc01g103220"	"Cytochrome c"	""	""	""	""	""	""
"Solyc01g103230"	"Non-lysosomal glucosylceramidase"	""	""	""	""	""	""
"Solyc01g103250"	"Zinc finger CCCH domain-containing protein"	""	""	""	""	""	""
"Solyc01g103310"	"SWIB/MDM2%2C Plus-3 and GYF domain-containing protein Chr5:7916314-7918507 FORWARD LENGTH=449 201606"	""	""	""	""	""	""
"Solyc01g103320"	"SWIB domain-containing protein/GYF domain-containing protein/Plus-3 domain-containing protein"	""	""	""	""	""	""
"Solyc01g103340"	"Zinc finger CCCH domain-containing protein"	""	""	""	""	""	""
"Solyc01g103350"	"Cyclin-dependent kinase C-2"	""	""	""	""	""	""
"Solyc01g103370"	"small GTP-binding protein B"	""	""	""	""	""	""
"Solyc01g103380"	"Ras GTPase"	""	""	""	""	""	""
"Solyc01g103390"	"12-oxophytodienoate reductase 2"	""	""	""	""	""	""
"Solyc01g103410"	"KH domain-containing protein"	""	""	""	""	""	""
"Solyc01g103430"	"Shaggy-related protein kinase kappa"	""	""	""	""	""	""
"Solyc01g103440"	"Phosphoribosylamine--glycine ligase"	""	""	""	""	""	""
"Solyc01g103460"	"Werner Syndrome-like exonuclease"	""	""	""	""	""	""
"Solyc01g103510"	"60S ribosomal protein L3"	""	""	""	""	""	""
"Solyc01g103530"	"Leucine-rich receptor-like protein kinase family protein, putative"	""	""	""	""	""	""
"Solyc01g103540"	"Evolutionarily conserved C-terminal region 2"	""	""	""	""	""	""
"Solyc01g103550"	"Transcription factor, MADS-box"	""	""	""	""	""	""
"Solyc01g103560"	"tRNA pseudouridine synthase"	""	""	""	""	""	""
"Solyc01g103690"	"RNA helicase family protein"	""	""	""	""	""	""
"Solyc01g103710"	"NifU-like protein 2, chloroplastic"	""	""	""	""	""	""
"Solyc01g103720"	"Ribosome biogenesis protein BO.1"	""	""	""	""	""	""
"Solyc01g103750"	"ATP phosphoribosyltransferase"	""	""	""	""	""	""
"Solyc01g103760"	"magnesium transporter NIPA (DUF803)"	""	""	""	""	""	""
"Solyc01g103790"	"Protein kinase superfamily protein"	""	""	""	""	""	""
"Solyc01g103800"	"40S ribosomal protein S12"	""	""	""	""	""	""
"Solyc01g103860"	"COBRA-like protein"	""	""	""	""	""	""
"Solyc01g103870"	"AGAMOUS-like 98"	""	""	""	""	""	""
"Solyc01g103890"	"magnesium transporter MRS2-4"	""	""	""	""	""	""
"Solyc01g103920"	"Ferredoxin"	""	""	""	""	""	""
"Solyc01g103940"	"Protein kinase"	""	""	""	""	""	""
"Solyc01g103960"	"RNA helicase DEAH-box15"	""	""	""	""	""	""
"Solyc01g103970"	"E3 ubiquitin-protein ligase RNF170-like protein (DUF 1232)"	""	""	""	""	""	""
"Solyc01g103980"	"E3 ubiquitin-protein ligase RNF170-like protein (DUF 1232)"	""	""	""	""	""	""
"Solyc01g104000"	"Serine hydroxymethyltransferase"	""	""	""	""	""	""
"Solyc01g104020"	"Embryo-specific protein"	""	""	""	""	""	""
"Solyc01g104030"	"Potassium channel AKT2"	""	""	""	""	""	""
"Solyc01g104040"	"UDP-glucose:glycoprotein glucosyltransferase"	""	""	""	""	""	""
"Solyc01g104050"	"Receptor-like protein kinase"	""	""	""	""	""	""
"Solyc01g104060"	"Aminomethyltransferase"	""	""	""	""	""	""
"Solyc01g104070"	"ARM repeat superfamily protein"	""	""	""	""	""	""
"Solyc01g104080"	"Senescence associated gene 18"	""	""	""	""	""	""
"Solyc01g104110"	"11-S seed storage protein"	""	""	""	""	""	""
"Solyc01g104130"	"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"	""	""	""	""	""	""
"Solyc01g104140"	"Phosphatidylinositol 4-phosphate 5-kinase"	""	""	""	""	""	""
"Solyc01g104210"	"elongation of fatty acids protein 3-like"	""	""	""	""	""	""
"Solyc01g104220"	"Transmembrane emp24 domain-containing protein p24delta3"	""	""	""	""	""	""
"Solyc01g104250"	"Rhomboid-like protein"	""	""	""	""	""	""
"Solyc01g104260"	"RING/U-box superfamily protein"	""	""	""	""	""	""
"Solyc01g104310"	"Patatin"	""	""	""	""	""	""
"Solyc01g104410"	"Sterol 3-beta-glucosyltransferase"	""	""	""	""	""	""
"Solyc01g104460"	"partner of Y14-MAGO Chr1:3838777-3839978 FORWARD LENGTH=204 201606"	""	""	""	""	""	""
"Solyc01g104470"	"Ribosome assembly factor mrt4"	""	""	""	""	""	""
"Solyc01g104490"	"Separase"	""	""	""	""	""	""
"Solyc01g104500"	"DUF1644 domain-containing protein"	""	""	""	""	""	""
"Solyc01g104570"	"kinetochore protein NDC80 homolog"	""	""	""	""	""	""
"Solyc01g104590"	"ribosomal protein L3"	""	""	""	""	""	""
"Solyc01g104650"	"ABSCISIC ACID-INSENSITIVE 5-like protein 5"	""	""	""	""	""	""
"Solyc01g104680"	"Ran protein/TC4 protein ran2a"	""	""	""	""	""	""
"Solyc01g104740"	"Multiprotein-bridging factor 1c"	""	""	""	""	""	""
"Solyc01g104750"	"WAT1-related protein"	""	""	""	""	""	""
"Solyc01g104840"	"RNA-binding protein"	""	""	""	""	""	""
"Solyc01g104850"	"Carboxypeptidase"	""	""	""	""	""	""
"Solyc01g104860"	"Peroxidase"	""	""	""	""	""	""
"Solyc01g104880"	"Phosphatidylserine decarboxylase proenzyme 2"	""	""	""	""	""	""
"Solyc01g104900"	"NAC domain-containing protein"	""	""	""	""	""	""
"Solyc01g104950"	"Beta-D-xylosidase 4"	""	""	""	""	""	""
"Solyc01g104970"	"Receptor-like kinase"	""	""	""	""	""	""
"Solyc01g104990"	"S-adenosyl-L-methionine-dependent methyltransferase superfamily protein"	""	""	""	""	""	""
"Solyc01g105010"	"Non-specific lipid-transfer protein-like protein"	""	""	""	""	""	""
"Solyc01g105030"	"Chlorophyll a-b binding protein, chloroplastic"	""	""	""	""	""	""
"Solyc01g105050"	"Chlorophyll a-b binding protein, chloroplastic"	""	""	""	""	""	""
"Solyc01g105060"	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ"	""	""	""	""	""	""
"Solyc01g105070"	"LECEVI16G peroxidase precursor"	""	""	""	""	""	""
"Solyc01g105150"	"Potassium transporter"	""	""	""	""	""	""
"Solyc01g105220"	"alternative oxidase 2"	""	""	""	""	""	""
"Solyc01g105230"	"Calmodulin-binding transcription activator 2"	""	""	""	""	""	""
"Solyc01g105240"	"Ubiquitin carboxyl-terminal hydrolase 46"	""	""	""	""	""	""
"Solyc01g105280"	"Protein phosphatase 2C"	""	""	""	""	""	""
"Solyc01g105300"	"Metacaspase.1"	""	""	""	""	""	""
"Solyc01g105310"	"Metacaspase.1"	""	""	""	""	""	""
"Solyc01g105320"	"Metacaspase.1"	""	""	""	""	""	""
"Solyc01g105330"	"Methyl-CpG binding domain protein"	""	""	""	""	""	""
"Solyc01g105340"	"Chaperone protein DnaJ"	""	""	""	""	""	""
"Solyc01g105350"	"Glycosyltransferase"	""	""	""	""	""	""
"Solyc01g105360"	"Glycosyltransferase"	""	""	""	""	""	""
"Solyc01g105370"	"2-nitropropane dioxygenase-like protein"	""	""	""	""	""	""
"Solyc01g105380"	"Phospho-2-dehydro-3-deoxyheptonate aldolase"	""	""	""	""	""	""
"Solyc01g105420"	"Phospho-2-dehydro-3-deoxyheptonate aldolase"	""	""	""	""	""	""
"Solyc01g105450"	"ABC transporter G family member .1"	""	""	""	""	""	""
"Solyc01g105460"	"1,4-dihydroxy-2-naphthoate polyprenyltransferase, chloroplastic"	""	""	""	""	""	""
"Solyc01g105500"	"1,4-beta-xylanase"	""	""	""	""	""	""
"Solyc01g105520"	"DNA helicase"	""	""	""	""	""	""
"Solyc01g105560"	"GTP cyclohydrolase II/3,4-dihydroxy-2-butanone 4-phosphate synthase"	""	""	""	""	""	""
"Solyc01g105650"	"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"	""	""	""	""	""	""
"Solyc01g105660"	"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"	""	""	""	""	""	""
"Solyc01g105680"	"Phototropic-responsive NPH3 family protein"	""	""	""	""	""	""
"Solyc01g105690"	"transcription factor bHLH143-like"	""	""	""	""	""	""
"Solyc01g105710"	"FK506 binding protein 12"	""	""	""	""	""	""
"Solyc01g105850"	"(-)-camphene/tricyclene synthase, chloroplastic"	""	""	""	""	""	""
"Solyc01g105880"	"Monoterpenoid synthase 2"	""	""	""	""	""	""
"Solyc01g105890"	"Monoterpene synthase 1"	""	""	""	""	""	""
"Solyc01g105920"	"Beta myrcene/limonene synthase"	""	""	""	""	""	""
"Solyc01g105940"	"Linalool synthase"	""	""	""	""	""	""
"Solyc01g105950"	"Linalool synthase"	""	""	""	""	""	""
"Solyc01g105960"	"Cineol synthase"	""	""	""	""	""	""
"Solyc01g106000"	"Nicotinamidase 1"	""	""	""	""	""	""
"Solyc01g106040"	"GATA transcription factor 24"	""	""	""	""	""	""
"Solyc01g106070"	"Putative endonuclease or glycosyl hydrolase"	""	""	""	""	""	""
"Solyc01g106080"	"Methylmalonate-semialdehyde dehydrogenase"	""	""	""	""	""	""
"Solyc01g106090"	"PsbP domain-containing protein 1, chloroplastic"	""	""	""	""	""	""
"Solyc01g106160"	"Lectin receptor kinase-like protein"	""	""	""	""	""	""
"Solyc01g106210"	"Heat shock protein 70 kDa"	""	""	""	""	""	""
"Solyc01g106220"	"DNA polymerase V"	""	""	""	""	""	""
"Solyc01g106260"	"Heat shock protein 70 kDa"	""	""	""	""	""	""
"Solyc01g106330"	"Glutamyl-tRNA(Gln) amidotransferase subunit A"	""	""	""	""	""	""
"Solyc01g106340"	"Glutamyl-tRNA(Gln) amidotransferase subunit A"	""	""	""	""	""	""
"Solyc01g106350"	"Fatty acid amide hydrolase"	""	""	""	""	""	""
"Solyc01g106360"	"Fatty acid amide hydrolase"	""	""	""	""	""	""
"Solyc01g106390"	"Glutamyl-tRNA reductase"	""	""	""	""	""	""
"Solyc01g106400"	"Peptide-methionine (R)-S-oxide reductase"	""	""	""	""	""	""
"Solyc01g106420"	"Major facilitator superfamily protein"	""	""	""	""	""	""
"Solyc01g106430"	"Inorganic pyrophosphatase"	""	""	""	""	""	""
"Solyc01g106480"	"glyoxisomal malate dehydrogenase"	""	""	""	""	""	""
"Solyc01g106650"	"Xyloglucan endotransglucosylase/hydrolase"	""	""	""	""	""	""
"Solyc01g106700"	"MADS-box transcription factor 23"	""	""	""	""	""	""
"Solyc01g106730"	"MADS-box transcription factor"	""	""	""	""	""	""
"Solyc01g106740"	"Aspartate--tRNA(Asp/Asn) ligase"	""	""	""	""	""	""
"Solyc01g106770"	"Serine/threonine-protein kinase TOR"	""	""	""	""	""	""
"Solyc01g106780"	"Pyruvate kinase"	""	""	""	""	""	""
"Solyc01g106820"	"Ethylene-dependent gravitropism-deficient and yellow-green-like 3"	""	""	""	""	""	""
"Solyc01g106860"	"Serine/threonine-protein kinase TOR"	""	""	""	""	""	""
"Solyc01g106870"	"Receptor-like protein 12"	""	""	""	""	""	""
"Solyc01g106880"	"Ribosomal RNA small subunit methyltransferase E"	""	""	""	""	""	""
"Solyc01g106920"	"Nucleobase-ascorbate transporter 8"	""	""	""	""	""	""
"Solyc01g106940"	"Telomere repeat-binding factor 2"	""	""	""	""	""	""
"Solyc01g106980"	"Endo-1,4-beta-xylanase"	""	""	""	""	""	""
"Solyc01g106990"	"Endo-1,4-beta-xylanase"	""	""	""	""	""	""
"Solyc01g107010"	"DNA polymerase kappa"	""	""	""	""	""	""
"Solyc01g107130"	"Vacuolar sorting receptor homolog"	""	""	""	""	""	""
"Solyc01g107170"	"Zinc finger protein"	""	""	""	""	""	""
"Solyc01g107180"	"Phototropic-responsive NPH3 family protein"	""	""	""	""	""	""
"Solyc01g107240"	"Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein"	""	""	""	""	""	""
"Solyc01g107280"	"glutamate racemase"	""	""	""	""	""	""
"Solyc01g107290"	"RING/U-box superfamily protein"	""	""	""	""	""	""
"Solyc01g107300"	"Protein phosphatase 2C family protein"	""	""	""	""	""	""
"Solyc01g107320"	"Pentatricopeptide repeat-containing protein"	""	""	""	""	""	""
"Solyc01g107330"	"SWIB domain-containing protein"	""	""	""	""	""	""
"Solyc01g107340"	"classical arabinogalactan protein 9"	""	""	""	""	""	""
"Solyc01g107360"	"WD40 repeat"	""	""	""	""	""	""
"Solyc01g107410"	"Pathogenesis-related homeodomain protein"	""	""	""	""	""	""
"Solyc01g107430"	"Zinc finger protein"	""	""	""	""	""	""
"Solyc01g107490"	"Basic helix-loop-helix (BHLH) DNA-binding superfamily protein"	""	""	""	""	""	""
"Solyc01g107510"	"DNA repair protein RE.1"	""	""	""	""	""	""
"Solyc01g107520"	"Basic secretory protease"	""	""	""	""	""	""
"Solyc01g107560"	"Glycosyltransferase"	""	""	""	""	""	""
"Solyc01g107580"	"Pseudouridine synthase family protein"	""	""	""	""	""	""
"Solyc01g107590"	"Cinnamyl alcohol dehydrogenase"	""	""	""	""	""	""
"Solyc01g107650"	"Ovary receptor kinase.1"	""	""	""	""	""	""
"Solyc01g107670"	"Leucine-rich repeat receptor protein kinase"	""	""	""	""	""	""
"Solyc01g107700"	"Kynurenine formamidase"	""	""	""	""	""	""
"Solyc01g107740"	"C2 domain-containing protein"	""	""	""	""	""	""
"Solyc01g107760"	"Cysteine proteinase RD21a"	""	""	""	""	""	""
"Solyc01g107780"	"Glycosyltransferase"	""	""	""	""	""	""
"Solyc01g107810"	"Glycosyltransferase"	""	""	""	""	""	""
"Solyc01g107820"	"TOMATO WOUND-INDUCED 1"	""	""	""	""	""	""
"Solyc01g107850"	"Glycosyltransferase"	""	""	""	""	""	""
"Solyc01g107870"	"Polyadenylate-binding protein"	""	""	""	""	""	""
"Solyc01g107900"	"O-acyltransferase WSD1-like protein"	""	""	""	""	""	""
"Solyc01g107930"	"RING/U-box superfamily protein"	""	""	""	""	""	""
"Solyc01g107940"	"RING/U-box superfamily protein"	""	""	""	""	""	""
"Solyc01g107950"	"bHLH transcription factor 008"	""	""	""	""	""	""
"Solyc01g107980"	"RING-type E3 ubiquitin transferase"	""	""	""	""	""	""
"Solyc01g107990"	"PI-PLC X domain-containing protein"	""	""	""	""	""	""
"Solyc01g108000"	"Protein kinase domain"	""	""	""	""	""	""
"Solyc01g108010"	"Endonuclease or glycosyl hydrolase"	""	""	""	""	""	""
"Solyc01g108020"	"Thioredoxin M3, chloroplastic"	""	""	""	""	""	""
"Solyc01g108030"	"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"	""	""	""	""	""	""
"Solyc01g108080"	"ABSCISIC ACID-INSENSITIVE 5-like protein 7"	""	""	""	""	""	""
"Solyc01g108090"	"Spire, putative (DUF1685)"	""	""	""	""	""	""
"Solyc01g108130"	"B3 domain-containing protein"	""	""	""	""	""	""
"Solyc01g108140"	"B3 domain-containing protein"	""	""	""	""	""	""
"Solyc01g108150"	"Zinc-binding alcohol dehydrogenase domain-containing protein 2"	""	""	""	""	""	""
"Solyc01g108160"	"autophagy-related protein 2-like"	""	""	""	""	""	""
"Solyc01g108180"	"Pentatricopeptide repeat"	""	""	""	""	""	""
"Solyc01g108200"	"Protein disulfide-isomerase SCO2"	""	""	""	""	""	""
"Solyc01g108240"	"Ethylene-responsive transcription factor"	""	""	""	""	""	""
"Solyc01g108250"	"DEM2"	""	""	""	""	""	""
"Solyc01g108280"	"Protein kinase"	""	""	""	""	""	""
"Solyc01g108300"	"Two-component response regulator ARR18"	""	""	""	""	""	""
"Solyc01g108340"	"Peptidyl-prolyl cis-trans isomerase D"	""	""	""	""	""	""
"Solyc01g108350"	"Cupredoxin"	""	""	""	""	""	""
"Solyc01g108360"	"Cupredoxin"	""	""	""	""	""	""
"Solyc01g108380"	"Serine protease inhibitor, potato inhibitor I-type family protein"	""	""	""	""	""	""
"Solyc01g108390"	"Trypsin/subtilisin inhibitor"	""	""	""	""	""	""
"Solyc01g108400"	"CDPK-related protein kinase"	""	""	""	""	""	""
"Solyc01g108410"	"Pentatricopeptide repeat-containing protein"	""	""	""	""	""	""
"Solyc01g108450"	"Carboxypeptidase"	""	""	""	""	""	""
"Solyc01g108460"	"Carboxypeptidase"	""	""	""	""	""	""
"Solyc01g108470"	"Carboxypeptidase"	""	""	""	""	""	""
"Solyc01g108480"	"Carboxypeptidase"	""	""	""	""	""	""
"Solyc01g108490"	"Carboxypeptidase"	""	""	""	""	""	""
"Solyc01g108500"	"RNA-binding protein"	""	""	""	""	""	""
"Solyc01g108510"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	""	""	""	""	""	""
"Solyc01g108530"	"Alpha/beta-Hydrolases superfamily protein"	""	""	""	""	""	""
"Solyc01g108540"	"Alpha/beta-Hydrolases superfamily protein"	""	""	""	""	""	""
"Solyc01g108560"	"Alpha/beta-Hydrolases superfamily protein"	""	""	""	""	""	""
"Solyc01g108570"	"Alpha/beta-Hydrolases superfamily protein"	""	""	""	""	""	""
"Solyc01g108580"	"Alpha/beta-Hydrolases superfamily protein"	""	""	""	""	""	""
"Solyc01g108610"	"Cyclin-dependent kinase inhibitor"	""	""	""	""	""	""
"Solyc01g108630"	"ni.1"	""	""	""	""	""	""
"Solyc01g108660"	"N-acetyl-gamma-glutamyl-phosphate reductase"	""	""	""	""	""	""
"Solyc01g108670"	"Kinesin"	""	""	""	""	""	""
"Solyc01g108790"	"3-hydroxyisobutyryl-CoA hydrolase.1"	""	""	""	""	""	""
"Solyc01g108800"	"3-hydroxyisobutyryl-CoA hydrolase.1"	""	""	""	""	""	""
"Solyc01g108840"	"Receptor protein kinase"	""	""	""	""	""	""
"Solyc01g108850"	"Receptor protein kinase"	""	""	""	""	""	""
"Solyc01g108880"	"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein"	""	""	""	""	""	""
"Solyc01g108900"	"Leucine-rich repeat"	""	""	""	""	""	""
"Solyc01g108940"	"Phox domain-containing protein"	""	""	""	""	""	""
"Solyc01g109030"	"AP2/B3-like transcriptional factor family protein"	""	""	""	""	""	""
"Solyc01g109040"	"Cytochrome b6-f complex subunit 7"	""	""	""	""	""	""
"Solyc01g109050"	"Glycosyl hydrolase family protein 43"	""	""	""	""	""	""
"Solyc01g109060"	"Pentatricopeptide repeat-containing protein, mitochondrial"	""	""	""	""	""	""
"Solyc01g109080"	"Serine/threonine-protein kinase SM.1"	""	""	""	""	""	""
"Solyc01g109110"	"Extra-large guanine nucleotide-binding protein 2"	""	""	""	""	""	""
"Solyc01g109140"	"divinyl ether synthase"	""	""	""	""	""	""
"Solyc01g109150"	"cytochrome P450 CYP74C4"	""	""	""	""	""	""
"Solyc01g109160"	"CYP74C4"	""	""	""	""	""	""
"Solyc01g109170"	"Cold-regulated plasma membrane protein 2"	""	""	""	""	""	""
"Solyc01g109180"	"Long chain acyl-CoA synthetase 4"	""	""	""	""	""	""
"Solyc01g109200"	"RING/U-box superfamily protein"	""	""	""	""	""	""
"Solyc01g109230"	"Cysteine/Histidine-rich .1"	""	""	""	""	""	""
"Solyc01g109300"	"4-hydroxy-3-methylbut-2-enyl diphosphate reductase"	""	""	""	""	""	""
"Solyc01g109310"	"Protein DETOXIFICATION"	""	""	""	""	""	""
"Solyc01g109320"	"Protein DETOXIFICATION"	""	""	""	""	""	""
"Solyc01g109340"	"E3 ubiquitin-protein ligase"	""	""	""	""	""	""
"Solyc01g109360"	"Tyrosine-tRNA ligase-like protein"	""	""	""	""	""	""
"Solyc01g109370"	"Acyltransferase domain-containing protein"	""	""	""	""	""	""
"Solyc01g109400"	"Quinone reductase family protein"	""	""	""	""	""	""
"Solyc01g109420"	"Quinone reductase family protein"	""	""	""	""	""	""
"Solyc01g109460"	"Polyol monosaccharide transporter 4"	""	""	""	""	""	""
"Solyc01g109510"	"SWI/SNF complex subunit SWI3D"	""	""	""	""	""	""
"Solyc01g109520"	"Ras-related protein"	""	""	""	""	""	""
"Solyc01g109550"	"Transcription termination factor family protein"	""	""	""	""	""	""
"Solyc01g109570"	"Glucan endo-1,3-beta-glucosidase"	""	""	""	""	""	""
"Solyc01g109580"	"Adenylyl cyclase-associated protein"	""	""	""	""	""	""
"Solyc01g109590"	"Protein kinase domain"	""	""	""	""	""	""
"Solyc01g109630"	"Mitochondrial transcription termination factor family protein"	""	""	""	""	""	""
"Solyc01g109650"	"Protein kinase domain"	""	""	""	""	""	""
"Solyc01g109660"	"meloidogyne-induced giant cell protein DB275"	""	""	""	""	""	""
"Solyc01g109690"	"Protein RADIALIS-like 6"	""	""	""	""	""	""
"Solyc01g109710"	"Adenine nucleotide alpha hydrolases-like superfamily protein"	""	""	""	""	""	""
"Solyc01g109750"	"syntaxin-112-like"	""	""	""	""	""	""
"Solyc01g109790"	"ADP-glucose pyrophosphorylase large subunit 1"	""	""	""	""	""	""
"Solyc01g109830"	"Bifunctional dihydrofolate reductase-thymidylate synthase"	""	""	""	""	""	""
"Solyc01g109840"	"Diaminopimelate decarboxylase chloroplastic-like"	""	""	""	""	""	""
"Solyc01g109850"	"Diaminopimelate decarboxylase"	""	""	""	""	""	""
"Solyc01g109860"	"Sec14p-like phosphatidylinositol transfer family protein"	""	""	""	""	""	""
"Solyc01g109880"	"BZIP transcription factor"	""	""	""	""	""	""
"Solyc01g109910"	"RING/U-box superfamily protein"	""	""	""	""	""	""
"Solyc01g109920"	"late embryogenesis abundant protein"	""	""	""	""	""	""
"Solyc01g109930"	"Inositol-1-monophosphatase"	""	""	""	""	""	""
"Solyc01g109940"	"26S proteasome regulatory subunit"	""	""	""	""	""	""
"Solyc01g109950"	"Kinase family protein"	""	""	""	""	""	""
"Solyc01g109980"	"BEL1-like homeodomain protein 7"	""	""	""	""	""	""
"Solyc01g109990"	"RNA-binding protein 28"	""	""	""	""	""	""
"Solyc01g110000"	"Beta-galactosidase"	""	""	""	""	""	""
"Solyc01g110010"	"Pentatricopeptide repeat-containing protein, chloroplastic"	""	""	""	""	""	""
"Solyc01g110060"	"Purple acid phosphatase"	""	""	""	""	""	""
"Solyc01g110080"	"RBR-type E3 ubiquitin transferase"	""	""	""	""	""	""
"Solyc01g110100"	"RBR-type E3 ubiquitin transferase"	""	""	""	""	""	""
"Solyc01g110110"	"Cysteine protease"	""	""	""	""	""	""
"Solyc01g110120"	"V-type proton ATPase subunit a"	""	""	""	""	""	""
"Solyc01g110130"	"DNA helicase"	""	""	""	""	""	""
"Solyc01g110190"	"Kinesin-related protein"	""	""	""	""	""	""
"Solyc01g110280"	"Protein DETOXIFICATION"	""	""	""	""	""	""
"Solyc01g110290"	"Squalene synthase"	""	""	""	""	""	""
"Solyc01g110310"	"GATA transcription factor"	""	""	""	""	""	""
"Solyc01g110340"	"Endoglucanase"	""	""	""	""	""	""
"Solyc01g110360"	"Fructose-bisphosphate aldolase"	""	""	""	""	""	""
"Solyc01g110370"	"Zinc finger, B-box"	""	""	""	""	""	""
"Solyc01g110380"	"Kinesin-like protein"	""	""	""	""	""	""
"Solyc01g110480"	"Basic-leucine zipper (BZIP) transcription factor family protein"	""	""	""	""	""	""
"Solyc01g110490"	"tRNA-dihydrouridine(47) synthase [NAD(P)(+)]"	""	""	""	""	""	""
"Solyc01g110530"	"Peptidyl-prolyl cis-trans isomerase"	""	""	""	""	""	""
"Solyc01g110540"	"ATP synthase E chain"	""	""	""	""	""	""
"Solyc01g110910"	"Auxin-responsive protein SAUR20"	""	""	""	""	""	""
"Solyc01g110920"	"Auxin-responsive protein SAUR20"	""	""	""	""	""	""
"Solyc01g110980"	"Auxin-responsive protein SAUR20"	""	""	""	""	""	""
"Solyc01g110990"	"ATP-dependent RNA helicase"	""	""	""	""	""	""
"Solyc01g111010"	"X-intrinsic protein 1.6"	""	""	""	""	""	""
"Solyc01g111020"	"Pentatricopeptide repeat-containing protein MRL1, chloroplastic"	""	""	""	""	""	""
"Solyc01g111040"	"Calcium-binding EF-hand family protein"	""	""	""	""	""	""
"Solyc01g111050"	"COBRA-like protein"	""	""	""	""	""	""
"Solyc01g111070"	"Chalcone synthase-like protein"	""	""	""	""	""	""
"Solyc01g111090"	"Er lumen protein retaining receptor-like protein"	""	""	""	""	""	""
"Solyc01g111100"	"Neutral/alkaline invertase"	""	""	""	""	""	""
"Solyc01g111160"	""	""	""	""	""	""	""
"Solyc01g111170"	"cyclophilin"	""	""	""	""	""	""
"Solyc01g111190"	"magnesium transporter NIPA (DUF803)"	""	""	""	""	""	""
"Solyc01g111210"	"Amidase"	""	""	""	""	""	""
"Solyc01g111220"	"Amidase"	""	""	""	""	""	""
"Solyc01g111250"	"1-phosphatidylinositol phosphodiesterase"	""	""	""	""	""	""
"Solyc01g111260"	"1-phosphatidylinositol phosphodiesterase"	""	""	""	""	""	""
"Solyc01g111270"	"Armadillo repeat only.1"	""	""	""	""	""	""
"Solyc01g111280"	"Cold-shock protein"	""	""	""	""	""	""
"Solyc01g111300"	"Cold-shock protein"	""	""	""	""	""	""
"Solyc01g111340"	"Endo-1,4-beta-xylanase"	""	""	""	""	""	""
"Solyc01g111360"	"Peptidyl-prolyl cis-trans isomerase"	""	""	""	""	""	""
"Solyc01g111380"	"Actin-depolymerizing factor-like protein"	""	""	""	""	""	""
"Solyc01g111400"	"Subtilisin-like protease-like protein"	""	""	""	""	""	""
"Solyc01g111410"	"Protein prenyltransferase alpha subunit repeat-containing protein.1"	""	""	""	""	""	""
"Solyc01g111420"	"Ribosomal protein .1"	""	""	""	""	""	""
"Solyc01g111450"	"LEY14339 proteasome, alpha subunit"	""	""	""	""	""	""
"Solyc01g111470"	"Pentatricopeptide repeat"	""	""	""	""	""	""
"Solyc01g111500"	"R2R3MYB transcription factor  7"	""	""	""	""	""	""
"Solyc01g111510"	"Ascorbate peroxidase"	""	""	""	""	""	""
"Solyc01g111550"	"protein MCM10 homolog"	""	""	""	""	""	""
"Solyc01g111560"	"Rac-like GTP binding protein"	""	""	""	""	""	""
"Solyc01g111570"	"proline-rich receptor-like protein kinase PERK7 isoform .1"	""	""	""	""	""	""
"Solyc01g111590"	"WD-40 repeat-containing protein MSI1"	""	""	""	""	""	""
"Solyc01g111600"	"Heavy metal-associated isoprenylated plant protein"	""	""	""	""	""	""
"Solyc01g111610"	"SBP (S-ribonuclease binding protein) family protein"	""	""	""	""	""	""
